angle,fps
95.09912,794.3612
95.19912,794.09216
95.29912,795.1846
95.39912,799.01764
95.499115,795.97144
95.59911,791.41437
95.69911,818.1553
95.79911,808.55743
95.89911,823.93713
95.99911,821.07666
96.099106,801.459
96.199104,802.00574
96.2991,798.92267
96.3991,797.93445
96.4991,795.7678
96.5991,801.82495
96.6991,795.1685
96.799095,801.0548
96.89909,793.30066
96.99909,796.2572
97.09909,816.21796
97.19909,817.11096
97.29909,812.80066
97.399086,793.5189
97.499084,794.9993
97.59908,793.19006
97.69908,791.3938
97.79908,796.03564
97.89908,791.78815
97.99908,785.7107
98.099075,787.17334
98.19907,783.00476
98.29907,787.8484
98.39907,806.57056
98.49907,806.7176
98.59907,803.90234
98.699066,785.4719
98.799065,786.3964
98.89906,786.4833
98.99906,792.6915
99.09906,790.27814
99.19906,792.0462
99.29906,795.8988
99.399055,797.42645
99.499054,795.1229
99.59905,793.84955
99.69905,818.3001
99.79905,819.29504
99.89905,820.7379
99.99905,799.45404
100.099045,803.3212
100.19904,805.7427
100.29904,801.4877
100.39904,797.63214
100.49904,804.6294
100.59904,809.35895
100.699036,805.02045
100.799034,802.51385
100.89903,794.3158
100.99903,823.00555
101.09903,821.7544
101.19903,821.67804
101.29903,801.2438
101.399025,806.6165
101.49902,800.4693
101.59902,797.06213
101.69902,801.2962
101.79902,802.6433
101.89902,809.5592
101.999016,799.76874
102.099014,802.79474
102.19901,799.543
102.29901,822.6204
102.39901,822.57166
102.49901,825.2208
102.59901,827.28546
102.699005,802.48224
102.799,802.97125
102.899,801.66956
102.999,807.674
103.099,807.21063
103.199,806.3868
103.298996,805.2887
103.398994,803.91425
103.49899,800.63074
103.59899,804.30176
103.69899,824.4622
103.79899,821.3029
103.89899,824.5991
103.998985,798.594
104.09898,792.0427
104.19898,796.69775
104.29898,794.97614
104.39898,792.13257
104.49898,794.24725
104.598976,793.0324
104.698975,794.67126
104.79897,792.21606
104.89897,791.90027
104.99897,811.88135
105.09897,816.6285
105.19897,813.97327
105.298965,794.4549
105.398964,794.6118
105.49896,794.0926
105.59896,793.93555
105.69896,793.72107
105.79896,797.0055
105.89896,793.3865
105.998955,793.9563
106.09895,792.2141
106.19895,791.7943
106.29895,811.07166
106.39895,812.8602
106.49895,811.16956
106.598946,803.6155
106.698944,785.476
106.79894,786.9083
106.89894,788.501
106.99894,789.2128
107.09894,788.2977
107.19894,789.46936
107.298935,787.5111
107.39893,786.96875
107.49893,786.67804
107.59893,792.7989
107.69893,808.49365
107.79893,803.1731
107.898926,798.34406
107.998924,779.34064
108.09892,778.2442
108.19892,778.1236
108.29892,774.4062
108.39892,771.1905
108.49892,769.9508
108.598915,769.30444
108.69891,767.40656
108.79891,771.6895
108.89891,774.90674
108.99891,788.5186
109.09891,792.1208
109.198906,786.0692
109.298904,773.56195
109.3989,777.9165
109.4989,778.7179
109.5989,775.58093
109.6989,774.1508
109.7989,772.16473
109.898895,772.90717
109.99889,776.526
110.09889,773.6023
110.19889,775.5336
110.29889,798.1791
110.39889,798.5816
110.498886,794.895
110.598885,780.6987
110.69888,783.0951
110.79888,785.6804
110.89888,784.4042
110.99888,784.7396
111.09888,785.9011
111.198875,788.20776
111.298874,782.4857
111.39887,780.8406
111.49887,780.971
111.59887,802.3872
111.69887,803.7567
111.79887,796.86975
111.898865,777.9518
111.99886,779.74634
112.09886,776.8148
112.19886,768.97815
112.29886,775.0563
112.39886,779.23816
112.498856,784.66864
112.598854,778.67615
112.69885,777.7472
112.79885,785.4745
112.89885,801.47406
112.99885,801.28503
113.09885,799.3641
113.198845,788.48865
113.29884,781.77374
113.39884,775.92444
113.49884,772.7998
113.59884,774.5542
113.69884,773.06067
113.798836,771.1806
113.898834,769.31226
113.99883,770.2321
114.09883,775.62805
114.19883,793.39734
114.29883,794.2234
114.39883,790.5533
114.498825,774.08887
114.59882,764.6293
114.69882,775.2341
114.79882,775.03186
114.89882,776.76
114.99882,772.7968
115.098816,765.6943
115.198814,769.3851
115.29881,768.9323
115.39881,770.57605
115.49881,787.2096
115.59881,793.07043
115.69881,764.3242
115.798805,760.46515
115.8988,764.9502
115.9988,764.67004
116.0988,768.68494
116.1988,762.78204
116.2988,761.0754
116.398796,765.2775
116.498795,765.73456
116.59879,762.17566
116.69879,783.852
116.79879,786.9443
116.89879,785.1222
116.99879,765.167
117.098785,765.2349
117.198784,767.24744
117.29878,766.64764
117.39878,763.40625
117.49878,761.38214
117.59878,770.36755
117.69878,770.5843
117.798775,767.20404
117.89877,765.64197
117.99877,785.5353
118.09877,781.8269
118.19877,776.8607
118.29877,761.35657
118.398766,763.36475
118.498764,765.9134
118.59876,763.8284
118.69876,759.3356
118.79876,762.9912
118.89876,764.3724
118.99876,763.2008
119.098755,766.87823
119.19875,773.82764
119.29875,791.7761
119.39875,790.0469
119.49875,786.64703
119.59875,768.77203
119.698746,769.98615
119.798744,770.51013
119.89874,770.0279
119.99874,774.8417
120.09874,776.5407
120.19874,774.1243
120.29874,775.0446
120.398735,775.20325
120.49873,777.5127
120.59873,792.4901
120.69873,791.05206
120.79873,770.4647
120.89873,771.92303
120.998726,768.86115
121.098724,766.9095
121.19872,764.41943
121.29872,765.87726
121.39872,765.0431
121.49872,765.56604
121.59872,765.8469
121.698715,766.84924
121.79871,784.464
121.89871,781.146
121.99871,780.7582
122.09871,762.363
122.19871,765.567
122.298706,762.622
122.398705,759.2202
122.4987,761.76794
122.5987,760.9196
122.6987,760.4153
122.7987,759.2492
122.8987,759.7562
122.998695,759.32904
123.098694,770.7615
123.19869,773.84686
123.29869,770.0897
123.39869,755.8346
123.49869,754.32904
123.59869,750.9634
123.698685,753.84644
123.79868,753.9227
123.89868,755.1466
123.99868,753.1426
124.09868,758.493
124.19868,753.4286
124.298676,755.29645
124.398674,773.80597
124.49867,769.8516
124.59867,755.0262
124.69867,748.5238
124.79867,752.75574
124.89867,748.35693
124.998665,747.1768
125.09866,747.2122
125.19866,745.46594
125.29866,746.8696
125.39866,745.61847
125.49866,745.44293
125.598656,766.287
125.698654,769.2879
125.79865,762.9154
125.89865,747.70233
125.99865,751.7518
126.09865,751.63983
126.19865,752.8949
126.298645,751.45
126.39864,750.694
126.49864,754.24963
126.59864,751.18243
126.69864,750.728
126.79864,753.1987
126.898636,771.95044
126.998634,770.23254
127.09863,750.6687
127.19863,753.4156
127.29863,753.9668
127.39863,752.6718
127.49863,748.4666
127.598625,747.3965
127.69862,747.2659
127.79862,743.4977
127.89862,741.7527
127.99862,740.0903
128.09862,758.65
128.19862,754.8534
128.29863,745.19116
128.39864,731.51794
128.49864,731.2745
128.59865,731.6316
128.69865,729.13794
128.79866,728.3798
128.89867,723.2821
128.99867,728.2679
129.09868,729.18964
129.19868,729.3675
129.29869,738.8035
129.3987,753.1158
129.4987,750.3851
129.59871,734.98425
129.69872,735.0731
129.79872,736.98474
129.89873,742.1971
129.99873,738.2583
130.09874,730.25464
130.19875,732.72327
130.29875,730.59955
130.39876,730.94336
130.49876,734.55585
130.59877,748.2096
130.69878,750.04395
130.79878,732.82983
130.89879,730.6551
130.9988,733.82825
131.0988,740.34717
131.1988,738.8683
131.29881,732.8126
